Date,Open,High,Low,Close,Adj Close,Volume
2019-12-12,5.250000,5.250000,5.250000,5.250000,5.250000,136
2019-12-13,5.270000,5.270000,5.250000,5.250000,5.250000,2143
2019-12-16,5.250000,5.250000,5.250000,5.250000,5.250000,0
2019-12-17,5.180000,5.180000,5.150000,5.160000,5.160000,91190
2019-12-18,5.190000,5.250000,5.190000,5.250000,5.250000,2443
2019-12-19,5.250000,5.300000,5.210000,5.210000,5.210000,40045
2019-12-20,5.200000,5.250000,5.200000,5.230000,5.230000,35184
2019-12-23,5.230000,5.250000,5.150000,5.150000,5.150000,84631
2019-12-24,5.150000,5.160000,5.150000,5.150000,5.150000,63096
2019-12-25,5.150000,5.150000,5.150000,5.150000,5.150000,0
2019-12-27,5.200000,5.200000,5.150000,5.150000,5.150000,60025
2019-12-30,5.130000,5.200000,5.130000,5.200000,5.200000,13354
2019-12-31,5.200000,5.200000,5.200000,5.200000,5.200000,0
2020-01-03,5.350000,5.350000,5.350000,5.350000,5.350000,307
2020-01-06,5.330000,5.340000,5.290000,5.340000,5.340000,5467
2020-01-07,5.330000,5.330000,5.280000,5.280000,5.280000,24255
2020-01-08,5.290000,5.290000,5.270000,5.270000,5.270000,7398
2020-01-09,5.270000,5.270000,5.250000,5.250000,5.250000,4288
2020-01-10,5.230000,5.350000,5.230000,5.250000,5.250000,2236
2020-01-13,5.250000,5.260000,5.230000,5.240000,5.240000,27412
2020-01-14,5.250000,5.250000,5.250000,5.250000,5.250000,3093
2020-01-15,5.280000,5.280000,5.280000,5.280000,5.280000,4392
2020-01-16,5.280000,5.280000,5.260000,5.260000,5.260000,13991
2020-01-17,5.270000,5.270000,5.250000,5.250000,5.250000,7082
2020-01-20,5.290000,5.290000,5.250000,5.250000,5.250000,6946
2020-01-21,5.290000,5.290000,5.240000,5.240000,5.240000,11600
2020-01-22,5.250000,5.290000,5.240000,5.240000,5.240000,11380
2020-01-23,5.250000,5.250000,5.230000,5.250000,5.250000,4067
2020-01-24,5.250000,5.250000,5.220000,5.220000,5.220000,5718
2020-01-27,5.230000,5.230000,5.180000,5.180000,5.180000,13958
2020-01-28,5.180000,5.220000,5.180000,5.180000,5.180000,37852
2020-01-29,5.180000,5.190000,5.170000,5.190000,5.190000,23399
2020-01-30,5.290000,5.290000,5.210000,5.290000,5.290000,8862
2020-01-31,5.270000,5.270000,5.220000,5.220000,5.220000,4216
2020-02-03,5.220000,5.250000,5.220000,5.250000,5.250000,96813
2020-02-04,5.240000,5.240000,5.240000,5.240000,5.240000,17632
2020-02-05,5.270000,5.280000,5.250000,5.280000,5.280000,3246
2020-02-07,5.330000,5.350000,5.300000,5.350000,5.350000,10544
2020-02-10,5.310000,5.330000,5.310000,5.330000,5.330000,12054
2020-02-11,5.290000,5.350000,5.290000,5.290000,5.290000,6549
2020-02-12,5.300000,5.300000,5.290000,5.300000,5.300000,55275
2020-02-13,5.290000,5.300000,5.280000,5.290000,5.290000,18273
2020-02-14,5.300000,5.340000,5.280000,5.320000,5.320000,35520
2020-02-17,5.330000,5.350000,5.330000,5.350000,5.350000,6286
2020-02-18,5.360000,5.390000,5.360000,5.360000,5.360000,12174
2020-02-19,5.360000,5.390000,5.360000,5.390000,5.390000,2936
2020-02-20,5.380000,5.380000,5.370000,5.370000,5.370000,5640
2020-02-21,5.370000,5.380000,5.370000,5.370000,5.370000,22808
2020-02-24,5.390000,5.400000,5.390000,5.390000,5.390000,39301
2020-02-25,5.370000,5.390000,5.300000,5.300000,5.300000,165544
2020-02-26,5.340000,5.350000,5.200000,5.200000,5.200000,130169
2020-02-27,5.150000,5.230000,5.150000,5.230000,5.230000,166203
2020-02-28,5.210000,5.210000,5.150000,5.170000,5.170000,73816
2020-03-02,5.200000,5.200000,5.170000,5.170000,5.170000,63869
2020-03-03,5.190000,5.200000,5.160000,5.200000,5.200000,67399
2020-03-04,5.160000,5.190000,5.150000,5.170000,5.170000,86569
2020-03-05,5.190000,5.250000,5.190000,5.250000,5.250000,65216
2020-03-06,5.250000,5.250000,5.230000,5.250000,5.250000,16363
2020-03-09,5.200000,5.300000,5.200000,5.230000,5.230000,108182
2020-03-10,5.200000,5.220000,5.150000,5.210000,5.210000,57012
2020-03-11,5.200000,5.210000,5.200000,5.200000,5.200000,55453
2020-03-12,5.170000,5.190000,5.160000,5.180000,5.180000,113721
2020-03-13,5.150000,5.160000,5.050000,5.100000,5.100000,29861
2020-03-16,5.100000,5.100000,5.010000,5.090000,5.090000,64679
2020-03-17,5.000000,5.060000,4.940000,5.000000,5.000000,276725
2020-03-18,5.060000,5.260000,5.060000,5.090000,5.090000,117099
2020-03-19,5.100000,5.300000,5.050000,5.180000,5.180000,331228
2020-03-20,5.200000,5.300000,4.950000,5.000000,5.000000,129151
2020-03-23,4.400000,4.400000,3.500000,3.500000,3.500000,15821
2020-03-24,2.980000,2.980000,2.780000,2.790000,2.790000,50186
2020-03-25,2.790000,2.870000,2.700000,2.700000,2.700000,107074
2020-03-26,2.750000,2.750000,2.470000,2.470000,2.470000,60165
2020-03-27,2.470000,2.500000,2.310000,2.310000,2.310000,44480
2020-03-30,2.050000,2.050000,1.800000,1.800000,1.800000,217488
2020-03-31,1.780000,1.780000,1.530000,1.590000,1.590000,332004
2020-04-01,1.600000,1.650000,1.580000,1.650000,1.650000,268363
2020-04-02,1.650000,1.650000,1.520000,1.530000,1.530000,373328
2020-04-03,1.540000,1.560000,1.150000,1.170000,1.170000,296206
2020-04-06,1.210000,1.300000,1.210000,1.210000,1.210000,397808
2020-04-07,1.250000,1.500000,1.250000,1.440000,1.440000,397064
2020-04-08,1.480000,1.540000,1.290000,1.330000,1.330000,401958
2020-04-09,1.360000,1.470000,1.360000,1.440000,1.440000,213290
2020-04-14,1.450000,1.550000,1.450000,1.530000,1.530000,543274
2020-04-15,1.610000,1.750000,1.610000,1.660000,1.660000,729497
2020-04-16,1.720000,1.870000,1.720000,1.750000,1.750000,1049654
2020-04-17,1.800000,1.920000,1.790000,1.900000,1.900000,672151
2020-04-20,1.940000,2.150000,1.940000,2.080000,2.080000,1040882
2020-04-21,2.120000,2.510000,2.110000,2.490000,2.490000,847970
2020-04-22,2.580000,2.750000,2.180000,2.300000,2.300000,947269
2020-04-23,2.400000,2.540000,2.350000,2.350000,2.350000,317913
2020-04-24,2.450000,2.470000,2.370000,2.370000,2.370000,167580
2020-04-28,2.380000,2.450000,2.350000,2.350000,2.350000,211110
2020-04-29,2.360000,2.380000,2.300000,2.300000,2.300000,128023
2020-04-30,2.330000,2.410000,2.330000,2.350000,2.350000,186709
2020-05-01,2.330000,2.390000,2.300000,2.380000,2.380000,57629
2020-05-04,2.340000,2.340000,2.240000,2.250000,2.250000,149834
2020-05-05,2.250000,2.280000,2.220000,2.220000,2.220000,95292
2020-05-06,2.220000,2.250000,2.210000,2.220000,2.220000,167061
2020-05-07,2.220000,2.270000,2.220000,2.250000,2.250000,96791
2020-05-08,2.250000,2.360000,2.250000,2.330000,2.330000,116914
2020-05-11,2.340000,2.400000,2.300000,2.310000,2.310000,136814
2020-05-12,2.350000,2.400000,2.350000,2.370000,2.370000,199029
2020-05-13,2.390000,2.410000,2.320000,2.330000,2.330000,77734
2020-05-14,2.350000,2.410000,2.350000,2.350000,2.350000,118274
2020-05-15,2.380000,2.390000,2.350000,2.350000,2.350000,67524
2020-05-18,2.350000,2.390000,2.320000,2.320000,2.320000,39166
2020-05-19,2.340000,2.380000,2.320000,2.350000,2.350000,103937
2020-05-20,2.320000,2.360000,2.320000,2.350000,2.350000,96404
2020-05-21,2.350000,2.360000,2.300000,2.300000,2.300000,80106
2020-05-22,2.310000,2.340000,2.200000,2.200000,2.200000,113032
2020-05-25,2.200000,2.200000,2.040000,2.130000,2.130000,212504
